match_key	k_programs	programs	printed_forms	seat	seated_as
meditation	3	Cal State Long Beach; Utah; William Paterson	MEDITATION | Meditation	1B #35	Meditation
mercymercymercy	4	Texas State; Utah; Utah Valley; William Paterson	MERCY, MERCY, MERCY | Mercy Mercy Mercy | Mercy, Mercy | Mercy, Mercy, Mercy	1A #32	Mercy, Mercy, Mercy
midnightsun	1	William Paterson	Midnight Sun	5C #46	Midnight Sun
milestones	2	Cal State Long Beach; Utah	MILESTONES | Milestones	1A #33	Milestones (modal)
milestonesnew	1	William Paterson	Milestones (New)	1A #33	Milestones (modal)
milestonesold	4	Central Florida; Utah; Western Michigan; William Paterson	Milestones (Old) | Milestones (old) | OLD MILESTONES		
minority	3	Cal State Long Beach; Utah Valley; William Paterson	Minority	2 #43	Minority
misty	7	Alabama; Colorado Boulder; Oregon; Texas State; Utah; Utah Valley; William Paterson	MISTY | Misty | Misty/I Want to Talk About You	1A #34	Misty
moanin	1	Alabama	Moanin'	1B #36	Moanin'
momentsnotice	6	Cal State Long Beach; Central Florida; Oregon; San Diego State; Utah; William Paterson	MOMENT'S NOTICE | Moment's Notice | Moments Notice | Moment’s Notice	1A #35	Moment's Notice
monksdream	2	Utah; Western Michigan	MONK'S DREAM | Monk's Dream	2 #44	Monk's Dream
monksmood	1	Utah	MONK'S MOOD	2 #45	Monk's Mood
moodindigo	2	Utah; William Paterson	MOOD INDIGO | Mood Indigo	5A #47	Mood Indigo
moongerms	1	William Paterson	Moon Germs		
moontrane	1	Cal State Long Beach	Moontrane	2 #72	The Moontrane
moosethemooche	4	Marshall; Oregon; Utah; William Paterson	MOOSE THE MOOCHE | Moose the Mooch | Moose the Mooche	1A #91	Moose the Mooche
moreiseeyou	1	William Paterson	(The) More I See You	5B #61	The More I See You
morethanyouknow	1	William Paterson	More Than You Know	5B #46	More Than You Know
move	1	William Paterson	Move	2 #113	Move
mrpc	9	Cal State Long Beach; Iowa; Marshall; Oregon; San Diego State; Texas State; Utah; Utah Valley; William Paterson	MR. P.C. | Mr. P. C. | Mr. P.C. | Mr. PC	1A #87	Mr. P.C.
myfavoritethings	4	Cal State Long Beach; Marshall; Utah; William Paterson	MY FAVORITE THINGS | My Favorite Things | My Favorite Tings	1A #36	My Favorite Things
myfoolishheart	5	Alabama; Colorado Boulder; Marshall; Utah; William Paterson	MY FOOLISH HEART | My Foolish Heart	5A #49	My Foolish Heart
myfunnyvalentine	6	Alabama; Cal State Long Beach; Marshall; Utah; Utah Valley; William Paterson	MY FUNNY VALENTINE | My Funny Valentine | My funny valentine	1A #37	My Funny Valentine
mylittleboat	2	Utah; William Paterson	My Little Boat | THE LITTLE BOAT		
mylittlesuedeshoes	1	Utah	MY LITTLE SUEDE SHOES	2 #46	My Little Suede Shoes
myoldflame	2	Utah; William Paterson	MY OLD FLAME | My Old Flame	5A #50	My Old Flame
myoneandonlylove	5	Alabama; Cal State Long Beach; Colorado Boulder; Utah; William Paterson	MY ONE AND ONLY LOVE | My One And Only Love | My One and Only Love	1B #37	My One and Only Love
myromance	7	Alabama; Cal State Long Beach; Colorado Boulder; Oregon; Utah; Utah Valley; William Paterson	MY ROMANCE | My Romance | My romance	1A #38	My Romance
myshininghour	2	Cal State Long Beach; Utah	MY SHINING HOUR | My Shining Hour	1B #38	My Shining Hour
myship	2	Utah; William Paterson	MY SHIP | My Ship	5B #48	My Ship
naima	3	Cal State Long Beach; Utah; William Paterson	NAIMA | Naima	2 #47	Naima
nancy	1	William Paterson	Nancy	5C #48	Nancy (with the Laughing Face)
nardis	4	Cal State Long Beach; Utah; Utah Valley; William Paterson	NARDIS | Nardis	1A #39	Nardis
nearnessofyou	5	Alabama; Marshall; Oregon; Utah; William Paterson	NEARNESS OF YOU, THE | Nearness of You, The | The Nearness of You	5A #72	The Nearness of You
nefertiti	3	Cal State Long Beach; San Diego State; William Paterson	Nefertiti	2 #48	Nefertiti
neverwillimarry	1	William Paterson	Never Will I Marry		
nicasdream	4	Cal State Long Beach; Utah; Utah Valley; William Paterson	NICA'S DREAM | Nica's Dream | Nica's dream | Nica’s Dream	1B #39	Nica's Dream
nightandday	8	Alabama; Cal State Long Beach; Iowa; Oregon; Texas State; Utah; Utah Valley; William Paterson	NIGHT AND DAY | Night And Day | Night and Day	1A #40	Night and Day
nightdreamer	1	William Paterson	Night Dreamer	3 #52	Night Dreamer
nighthasathousandeyes	2	Oregon; Utah	NIGHT HAS 1000 EYES | The Night Has A Thousand Eyes	1B #48	The Night Has a Thousand Eyes
nightintunisia	8	Alabama; Cal State Long Beach; Marshall; Oregon; Sonoma State; Utah; Utah Valley; William Paterson	A NIGHT IN TUNISIA | A Night In Tunisia | A Night in Tunisia | Night In Tunisia | Night In Tunisia, A | Night in Tunisia	1A #41	Night in Tunisia
nowsthetime	9	Colorado Boulder; Iowa; Marshall; Oregon; Texas State; Utah; Utah Valley; Western Michigan; William Paterson	NOW'S THE TIME | Now's The Time | Now's the Time | Now’s the Time	1A #77	Now's the Time
nutville	1	William Paterson	Nutville		
offminor	1	Utah	OFF MINOR	2 #51	Off Minor
olddevilmoon	2	Cal State Long Beach; Utah	OLD DEVIL MOON | That Old Devil Moon	5B #49	Old Devil Moon
oldfolks	3	Marshall; Utah; William Paterson	OLD FOLKS | Old Folks	5A #53	Old Folks
oleo	10	Cal State Long Beach; Central Florida; Colorado Boulder; Marshall; Oregon; Texas State; Utah; Utah Valley; Western Michigan; William Paterson	OLEO | Oleo	1A #92	Oleo
onaclearday	1	Alabama	On A Clear Day	5A #54	On a Clear Day (You Can See Forever)
onceiloved	4	Cal State Long Beach; Oregon; Utah; William Paterson	ONCE I LOVED | Once I Loved	5A #55	Once I Loved
onefingersnap	3	Oregon; Utah; William Paterson	ONE FINGER SNAP | One Finger Snap | One-Finger Snap	3 #57	One Finger Snap
oneforamos	1	William Paterson	One for Amos		
onefordaddyo	1	Oregon	One For Daddy-O		
onenotesamba	2	Utah; William Paterson	ONE NOTE SAMBA | One Note Samba	1B #40	One Note Samba
ongreendolphinstreet	9	Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson	Green Dolphin Street | ON GREEN DOLPHIN STREET | On Green Dolphin Street | On Green Dolphin Street (C and Eb)	1A #42	On Green Dolphin Street
onthesunnysideofthestreet	1	Marshall	On the Sunny Side of the Street	4 #58	On the Sunny Side of the Street
onthetrail	1	William Paterson	On the Trail		
ornithology	8	Cal State Long Beach; Central Florida; Colorado Boulder; Marshall; Utah; Utah Valley; Western Michigan; William Paterson	Orinthology | Ornithology	1A #43	Ornithology
ourloveisheretostay	4	Alabama; Cal State Long Beach; Utah; William Paterson	OUR LOVE IS HERE TO STAY | Our Love Is Here To Stay | Our Love is Here to Stay	1B #32	Love Is Here to Stay
outofnowhere	7	Alabama; Cal State Long Beach; Marshall; Oregon; Utah; Utah Valley; William Paterson	OUT OF NOWHERE | Out Of Nowhere | Out of Nowhere	1A #44	Out of Nowhere
overtherainbow	2	Utah; William Paterson	OVER THE RAINBOW | Over the Rainbow	1B #41	Over the Rainbow
pannonica	2	Cal State Long Beach; Utah	PANNONICA | Pannonica	2 #54	Pannonica
parisianthoroughfare	1	Central Florida	Parisian Thoroughfare	3 #58	Parisian Thoroughfare
passiondance	1	William Paterson	Passion Dance	2 #55	Passion Dance
peace	3	Sonoma State; Utah; William Paterson	PEACE | Peace | Peace (Horace Silver)	2 #56	Peace
pensativa	1	William Paterson	Pensativa	3 #59	Pensativa
pentuphouse	3	San Diego State; Utah; William Paterson	PENT-UP HOUSE | Pent Up House	2 #57	Pent-Up House
perdido	3	Cal State Long Beach; Marshall; Oregon	Perdido	4 #61	Perdido
phasedance	1	Utah	PHASE DANCE		
pinocchio	1	William Paterson	Pinocchio	3 #60	Pinocchio
polkadotsandmoonbeams	1	Marshall	Polkadots and Moonbeams	1B #42	Polka Dots and Moonbeams
poorbutterfly	1	William Paterson	Poor Butterfly		
prancing	1	William Paterson	Prancing		
preacher	2	Utah; William Paterson	Preacher | THE PREACHER	2 #74	The Preacher
preludetoakiss	4	Cal State Long Beach; Utah; Western Michigan; William Paterson	PRELUDE TO A KISS | Prelude To A Kiss | Prelude to a Kiss	5A #57	Prelude to a Kiss
princealbert	1	Central Florida	Prince Albert	3 #61	Prince Albert
questionandanswer	1	Utah	QUESTION & ANSWER		
quicksilver	2	Cal State Long Beach; William Paterson	Quicksilver	3 #63	Quicksilver
quietnights	1	William Paterson	Quiet Nights	1A #13	Corcovado
rainwaltz	1	San Diego State	Rain Waltz		
recordame	8	Cal State Long Beach; Iowa; Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson	RECORDA ME | RECORDAME | Recorda Me | Recorda-Me | Recordame	1A #45	Recordame
redclay	2	Utah; William Paterson	RED CLAY | Red Clay	2 #59	Red Clay
reincarnationofalovebird	1	San Diego State	Reincarnation of a Love Bird		
relaxinatcamarillo	1	Utah	RELAXIN' AT CAMARILLO	3 #110	Relaxin' At Camarillo
rememberrockefelleratattica	1	San Diego State	Remember Rockefeller at Attica		
rhythmaning	3	Marshall; Utah; William Paterson	RHYTHM-A-NING | Rhythm-A-Ning	1A #93	Rhythm-A-Ning
room608	3	Cal State Long Beach; Central Florida; William Paterson	Room 608	3 #137	Room 608
roundmidnight	8	Alabama; Cal State Long Beach; Iowa; Oregon; Sonoma State; Texas State; Utah; William Paterson	'ROUND MIDNIGHT | 'Round Midnight | 'Round Midnight (Monk changes) | Round Midnight	1A #46	'Round Midnight
route66	1	Utah	ROUTE 66	5C #51	Route 66
rubymydear	1	Utah	RUBY, MY DEAR	2 #60	Ruby My Dear
sailaway	2	Cal State Long Beach; Utah	SAIL AWAY | Sail Away	3 #66	Sail Away
saltpeanuts	1	Oregon	Salt Peanuts	2 #114	Salt Peanuts
sambadeorfeu	1	Western Michigan	Samba de Orfeo	2 #61	Samba De Orfeu
sandu	4	Marshall; San Diego State; Utah; Utah Valley	SANDU | Sandu	1A #78	Sandu
satindoll	8	Alabama; Iowa; Marshall; Oregon; Texas State; Utah Valley; Western Michigan; William Paterson	Satin Doll	1A #47	Satin Doll
scrapplefromtheapple	6	Cal State Long Beach; Central Florida; Marshall; Oregon; Utah; William Paterson	SCRAPPLE FROM THE APPLE | Scrapple From The Apple | Scrapple from the Apple	1B #43	Scrapple from the Apple
seajourney	1	William Paterson	Sea Journey		
secretlove	4	Alabama; Cal State Long Beach; Utah; William Paterson	My Secret Love | SECRET LOVE | Secret Love	5A #59	Secret Love
segment	1	Oregon	Segment		
sevenstepstoheaven	6	Cal State Long Beach; Marshall; Oregon; Utah; Western Michigan; William Paterson	SEVEN STEPS TO HEAVEN | Seven Steps To Heaven | Seven Steps to Heaven	2 #62	Seven Steps To Heaven
shadowofyoursmile	3	Alabama; Cal State Long Beach; William Paterson	Shadow Of Your Smile | Shadow of Your Smile | The Shadow of Your Smile	1B #49	The Shadow of Your Smile
shawnuff	2	Utah; William Paterson	SHAW NUFF | Shaw Nuff	2 #115	Shaw Nuff
sidewinder	3	Iowa; Utah; William Paterson	Sidewinder | THE SIDEWINDER | The Sidewinder	2 #63	Sidewinder
silversserenade	2	San Diego State; William Paterson	Silver's Serenade | Silver’s Serenade		
sippinatbells	1	Central Florida	Sippin' at Bells	3 #111	Sippin' At Bell's
sistersadie	1	William Paterson	Sister Sadie	2 #64	Sister Sadie
skydive	1	Utah	SKY DIVE		
skylark	5	Alabama; Cal State Long Beach; Utah; Western Michigan; William Paterson	SKYLARK | Skylark	5A #60	Skylark
slowlygonebygone	1	William Paterson	Slowly Gone, Bygone		
softlyasinamorningsunrise	9	Alabama; Cal State Long Beach; Central Florida; Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson	SOFTLY, AS IN A MORNING SUNRISE | Softly As in a Morning Sunrise | Softly as in a Morning Sunrise | Softly, As In A Morning Sunrise | Softly, as in a Morning Sunrise	1A #49	Softly As in a Morning Sunrise
solar	7	Alabama; Cal State Long Beach; Marshall; Oregon; Utah; Utah Valley; William Paterson	SOLAR | Solar	1A #50	Solar
solid	1	William Paterson	Solid	3 #112	Solid (Shaw)
solitude	1	Alabama	Solitude	5A #63	Solitude
somedaymyprincewillcome	10	Cal State Long Beach; Colorado Boulder; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; William Paterson	SOMEDAY MY PRINCE WILL COME | Some Day My Prince Will Come | Someday My Prince Will Come	1A #51	Someday My Prince Will Come
someotherblues	1	William Paterson	Some Other Blues	3 #113	Some Other Blues
someothertime	1	William Paterson	Some Other Time	5C #54	Some Other Time
songformyfather	7	Cal State Long Beach; Iowa; Oregon; Sonoma State; Utah; Utah Valley; William Paterson	SONG FOR MY FATHER | Song For My Father | Song for My Father	1A #52	Song For My Father
songisyou	3	Cal State Long Beach; Utah; William Paterson	SONG IS YOU, THE | Song Is You, The | The Song Is You	1B #50	The Song Is You
sonnymoonfortwo	6	Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson	SONNYMOON FOR TWO | Sonnymoon for Two	1A #79	Sonnymoon For Two
sophisticatedlady	4	Alabama; Cal State Long Beach; Utah; Western Michigan	SOPHISTICATED LADY | Sophisticated Lady	1B #44	Sophisticated Lady
sowhat	10	Alabama; Cal State Long Beach; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Western Michigan; William Paterson	SO WHAT | So What	1A #48	So What
spain	1	Utah	SPAIN	2 #66	Spain
speaklow	3	Cal State Long Beach; Oregon; Utah	SPEAK LOW | Speak Low	1B #45	Speak Low
speaknoevil	2	Cal State Long Beach; Utah	SPEAK NO EVIL | Speak No Evil	2 #67	Speak No Evil
springcanreallyhangyouupthemost	1	William Paterson	Spring Can Really Hang You Up the Most	5A #65	Spring Can Really Hang You Up the Most
springishere	2	Cal State Long Beach; William Paterson	Spring Is Here	5A #66	Spring Is Here
stablemates	4	Cal State Long Beach; Marshall; Utah; William Paterson	STABLEMATES | Stablemates	2 #68	Stablemates
starcrossedlovers	1	William Paterson	Star-Crossed Lovers	4 #75	Star Crossed Lovers
stardust	4	Alabama; Cal State Long Beach; Utah; William Paterson	STARDUST | Star Dust | Stardust	4 #76	Star Dust
stareyes	3	Cal State Long Beach; Utah; William Paterson	STAR EYES | Star Eyes	1B #46	Star Eyes
starsfellonalabama	1	William Paterson	Stars Fell On Alabama		
steeplechase	1	Utah	STEEPLECHASE	3 #139	Steeplechase
stellabystarlight	11	Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson	STELLA BY STARLIGHT | Stella By Starlight | Stella by Starlight	1A #54	Stella By Starlight
steps	1	William Paterson	Steps		
stolenmoments	3	Cal State Long Beach; Oregon; William Paterson	Stolen Moments	1B #53	Stolen Moments
stompinatthesavoy	2	Alabama; William Paterson	Stompin' at the Savoy | Stompin’ at the Savoy	4 #77	Stompin' at the Savoy
straightnochaser	7	Alabama; Iowa; Oregon; Texas State; Utah; Utah Valley; William Paterson	STRAIGHT NO CHASER | Straight No Chaser | Straight, No Chaser	1A #80	Straight No Chaser
strollin	3	San Diego State; Utah; William Paterson	STROLLIN' | Strollin' | Strollin’	2 #69	Strollin'
stthomas	7	Cal State Long Beach; Iowa; Marshall; Oregon; Utah; Utah Valley; William Paterson	ST. THOMAS | St. Thomas	1A #53	St. Thomas
sugar	4	Oregon; Utah; Utah Valley; William Paterson	SUGAR | Sugar	2 #70	Sugar
summertime	10	Alabama; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson	SUMMERTIME | Summertime	1A #55	Summertime
sweetandlovely	1	San Diego State	Sweet and Lovely		
sweetgeorgiabrown	4	Alabama; Oregon; Utah; William Paterson	Sweet Georgia Brown	4 #80	Sweet Georgia Brown
takefive	2	Sonoma State; Utah	TAKE FIVE | Take Five	1B #47	Take Five
taketheatrain	12	Alabama; Cal State Long Beach; Iowa; Marshall; Oregon; San Diego State; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson	TAKE THE “A” TRAIN | Take The A Train | Take the 'A' Train | Take the A Train | Take the “A” Train	1A #56	"Take the ""A"" Train"
takethecoltrane	1	Utah	TAKE THE COLTRANE	3 #114	Take The Coltrane
tangerine	1	William Paterson	Tangerine	2 #71	Tangerine
tenderly	4	Alabama; Cal State Long Beach; Western Michigan; William Paterson	Tenderly	5A #69	Tenderly
tenormadness	7	Iowa; Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson	TENOR MADNESS | Tenor Madness	1A #81	Tenor Madness
thereisnogreaterlove	9	Alabama; Cal State Long Beach; Marshall; Oregon; San Diego State; Texas State; Utah; Utah Valley; William Paterson	THERE IS NO GREATER LOVE | There Is No Grater Love | There Is No Greater Love | There is No Greater Love	1A #58	There Is No Greater Love
therewillneverbeanotheryou	9	Alabama; Cal State Long Beach; Marshall; Oregon; San Diego State; Texas State; Utah; Utah Valley; William Paterson	THERE WILL NEVER BE ANOTHER YOU | There Will Never Be Another You | There Will Never be Another You	1A #59	There Will Never Be Another You
theycanttakethataway	1	William Paterson	They Can’t Take That Away…	5A #76	They Can't Take That Away from Me
thingsaintwhattheyusedtobe	1	Utah	THINGS AIN'T WHAT THEY USED TO BE	1A #83	Things Ain't What They Used to Be
thingswedidlastsummer	1	William Paterson	Things We Did Last Summer		
thinkonme	1	William Paterson	Think On Me		
thisidigofyou	1	Iowa	This I Dig of You	2 #75	This I Dig Of You
timeforlove	1	Cal State Long Beach	A Time For Love	5C #2	A Time for Love
timeremembered	1	William Paterson	Time Remembered		
tonesforjoansbones	3	San Diego State; Utah; William Paterson	TONES FOR JOAN'S BONES | Tone for Jones Bones | Tones for Joan's Bones	3 #81	Tones for Joan's Bones
tooyoungtogosteady	1	William Paterson	Too Young to Go Steady		
touchofyourlips	1	Utah	THE TOUCH OF YOUR LIPS	5C #60	The Touch of Your Lips
tricotism	2	Central Florida; Iowa	Tricotism	3 #82	Tricotism
triste	4	Cal State Long Beach; Colorado Boulder; Marshall; William Paterson	Triste	1B #51	Triste
tuneup	7	Cal State Long Beach; Marshall; Oregon; San Diego State; Utah; Utah Valley; William Paterson	TUNE UP | Tune Up | Tune Up (faster)	1A #60	Tune Up
turnoutthestars	1	William Paterson	Turn Out the Stars		
unitseven	1	William Paterson	Unit 7	2 #79	Unit Seven
unlessitsyou	1	San Diego State	Unless it's You (a.k.a. Orbit)		
upjumpedspring	6	Colorado Boulder; Marshall; Oregon; Sonoma State; Utah; Western Michigan	UP JUMPED SPRING | Up Jumped Spring	2 #80	Up Jumped Spring
valsehot	1	Marshall	Valse Hot	3 #86	Valse Hot
veryearly	3	Cal State Long Beach; Western Michigan; William Paterson	Very Early	3 #87	Very Early
vierdblues	2	Central Florida; William Paterson	Vierd Blues	3 #116	Vierd Blues
voyage	2	Oregon; Utah	VOYAGE | Voyage	3 #88	Voyage
walkin	3	Oregon; Utah; William Paterson	WALKIN' | Walkin' | Walkin’	1A #84	Walkin'
waltzfordebby	1	William Paterson	Waltz for Debby	2 #82	Waltz for Debby
watchwhathappens	2	Utah; William Paterson	WATCH WHAT HAPPENS | Watch What Happens	5B #66	Watch What Happens
watermelonman	5	Iowa; Marshall; Oregon; Utah; Utah Valley	WATERMELON MAN | Watermelon Man	1A #61	Watermelon Man
wave	8	Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Texas State; Utah; Utah Valley; William Paterson	WAVE | Wave	1A #62	Wave
wayyoulooktonight	4	Alabama; Cal State Long Beach; Utah; Western Michigan	The Way You Look Tonight | WAY YOU LOOK TONIGHT, THE | Way You Look Tonight	5A #74	The Way You Look Tonight
webbcity	1	William Paterson	Webb City		
wellyouneednt	4	Cal State Long Beach; Iowa; Utah; William Paterson	WELL, YOU NEEDN'T | Well You Needn't | Well You Needn’t	1A #63	Well You Needn't
westcoastblues	3	Cal State Long Beach; Marshall; Utah	WEST COAST BLUES | West Coast Blues	2 #107	West Coast Blues
whatadifferenceadaymade	1	William Paterson	What A Difference A Day..	5B #68	What a Difference a Day Made
whatareyoudoingtherestofyourlife	1	William Paterson	What Are You Doing the Rest of Your Life?		
whatisthisthingcalledlove	10	Alabama; Cal State Long Beach; Marshall; Oregon; San Diego State; Sonoma State; Texas State; Utah; Utah Valley; William Paterson	WHAT IS THIS THING CALLED LOVE | What Is This Thing Called Love | What Is This Thing Called Love? | What is This Thing Called Love | What is This Thing Called Love? | What is this Thing Called Love	1A #64	What Is This Thing Called Love?
whatsnew	4	Alabama; Colorado Boulder; Oregon; William Paterson	What's New | What's New? | What’s New?	5A #78	What's New?
whenifallinlove	4	Alabama; Marshall; Oregon; William Paterson	When I Fall In Love	5B #69	When I Fall in Love
whenlightsarelow	1	San Diego State	When Lights are Low	2 #83	When Lights Are Low
whensunnygetsblue	1	William Paterson	When Sunny Gets Blue	5B #70	When Sunny Gets Blue
whispernot	4	San Diego State; Utah; Utah Valley; William Paterson	WHISPER NOT | Whisper Not	2 #84	Whisper Not
willowweepforme	1	William Paterson	Willow Weep for Me	5A #79	Willow Weep For Me
windows	2	Utah; William Paterson	WINDOWS | Windows	2 #85	Windows
witchhunt	3	Oregon; Utah; William Paterson	WITCH HUNT | Witch Hunt | Witchhunt	2 #86	Witch Hunt
withoutasong	2	Utah; William Paterson	WITHOUT A SONG | Without A Song	2 #87	Without a Song
woodynyou	4	Central Florida; Marshall; Utah; William Paterson	WOODY 'N YOU | Woody 'N' You | Woody n' You | Woody ‘N’ You	2 #88	Woody'n You
worksong	2	Oregon; Utah Valley	Work Song	1A #65	Work Song
yardbirdsuite	6	Cal State Long Beach; Central Florida; Iowa; Oregon; Utah; William Paterson	YARDBIRD SUITE | Yardbird Suite	1B #52	Yardbird Suite
yesandno	4	Cal State Long Beach; Iowa; Utah; Western Michigan	YES OR NO | Yes And No | Yes or No	2 #89	Yes Or No
yesterdays	7	Alabama; Cal State Long Beach; Marshall; Sonoma State; Texas State; Utah; William Paterson	YESTERDAYS | Yesterdays	1A #66	Yesterdays
youandthenightandthemusic	3	Oregon; Sonoma State; Utah	YOU & THE NIGHT & THE MUSIC | You and the Night and the Music	2 #90	You and the Night and the Music
youaretoobeautiful	1	William Paterson	You Are Too Beautiful	5C #68	You Are Too Beautiful
youdbesonicetocomehometo	2	Alabama; William Paterson	You'd Be So Nice to Come Home To | You’d Be So Nice To Come HomeTo	2 #91	You'd Be So Nice to Come Home To
youdontknowwhatloveis	4	Alabama; Utah; Utah Valley; William Paterson	YOU DON'T KNOW WHAT LOVE IS | You Don't Know What Love Is | You Don’t Know What Love Is	1A #67	You Don't Know What Love Is
yougotomyhead	1	William Paterson	You Go to My Head	5A #80	You Go to My Head
youremyeverything	2	Iowa; William Paterson	You're My Everything | You’re My Everything		
yousteppedoutadream	1	Cal State Long Beach	You Stepped Out A Dream	1A #68	You Stepped Out of a Dream
yousteppedoutofadream	3	Utah; Utah Valley; William Paterson	YOU STEPPED OUT OF A DREAM | You Stepped Out of a Dream	1A #68	You Stepped Out of a Dream
